UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40000004355,Mumu Boca Raton,124.99,1,Yes,Apparel,Top,,,Mumu
40000004509,Mumu Garrett Tank Jungle Juice,134.99,1,Yes,Apparel,Top,Tank,,Mumu
40000004509,Mumu Garrett Tank Jungle Juice,134.99,1,Yes,Apparel,Top,Tank,,Mumu
40000004509,Mumu Garrett Tank Jungle Juice,134.99,1,Yes,Apparel,Top,Tank,,Mumu
40000004357,Mumu Oliver Tree Graphic,69.99,1,Yes,Apparel,Top,,,Mumu
40000004361,Mumu Tutti Frutti,116.99,1,Yes,Apparel,Top,,,Mumu
40000004510,Mumu Circus Mini Dress,154.99,1,Yes,Apparel,Dress,,,Mumu
40000004510,Mumu Circus Mini Dress,154.99,1,Yes,Apparel,Dress,,,Mumu
40000004510,Mumu Circus Mini Dress,154.99,1,Yes,Apparel,Dress,,,Mumu
40000004162,PPLA Top,59.99,1,Yes,Apparel,Top,,,PPLA
40000004157,PPLA Top,54.99,1,Yes,Apparel,Top,,,PPLA
40000004215,Cassie Tank,42.99,1,Yes,Apparel,Top,Tank,,
40000004215,Cassie Tank,42.99,1,Yes,Apparel,Top,Tank,,
40000004215,Cassie Tank,42.99,1,Yes,Apparel,Top,Tank,,
40000004359,Mumu Gomez Mini dress,124.99,1,Yes,Apparel,Dress,,,Mumu
40000004157,PPLA Top,54.99,1,Yes,Apparel,Dress,,,
40000004359,Mumu Gomez Mini dress,124.99,1,Yes,Apparel,Dress,,,Mumu
40000004359,Mumu Gomez Mini dress,124.99,1,Yes,Apparel,Top,,,Mumu
40000004455,Nation Red Tee,74.99,1,Yes,Apparel,Top,,,Nation
40000004455,Nation Red Tee,74.99,1,Yes,Apparel,Top,,,Nation
40000004455,Nation Red Tee,74.99,1,Yes,Apparel,Top,,,Nation
40000004513,Mumu Katy Halter Dress Topical,154.99,1,Yes,Apparel,Dress,,,Mumu
40000004513,Mumu Katy Halter Dress Topical,154.99,1,Yes,Apparel,Dress,,,Mumu
40000004513,Mumu Katy Halter Dress Topical,154.99,1,Yes,Apparel,Dress,,,Mumu
40000004480,Mumu Flamingo Romper,145.99,1,Yes,Apparel,Romper,,,Mumu
40006693001,Wooden Frame P/W Small,45,1,Yes,Dicor,,,,
40006693001,Wooden Frame P/W Small,45,1,Yes,Dicor,,,,
40006694001,Wooden Frame P/W Large,85,1,Yes,Dicor,,,,
40007623001,Hot Air Balloon Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007609001,Birthday Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007612001,Wishbone Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007621001,Queen Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007610001,Congrats Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007605001,Friendship Necklace,17,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007619001,Clover Necklace,12,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007604001,Shine Bright Necklace,14,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007605001,Friendship Necklace,17,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
40007605001,Friendship Necklace,17,1,Yes,Accessory ,Jewelry,Necklace,,Lucky Feather 
