Item,Descrption,Cost,UPC1
10338,,$13.75 ,40000001428
10341,Mini Shoulder Bag,$23.00 ,40007878001
10342,Mini Shoulder Bag,$23.00 ,40007877001
10348,Envelope Bag,$14.00 ,40007876001
10374,Reversible Hobo,$40.00 ,40007879001
10420,Reversible Tote,$40.00 ,40007884001
10425,Reversible Hobo,$40.00 ,40007891001
10426,Zip Around Wallet,$15.00 ,40007885001
10427,Zip Around Wallet,$15.00 ,40007887001
10428,Zip Around Wallet,$15.00 ,40007886001
10429,Zip Around Wallet,$15.00 ,40007888001
10430,Zip Around Wallet,$15.00 ,40007889001
10431,Zip Around Wallet,$15.00 ,40007890001
10443,Reversible Tote,$40.00 ,40007882001
10444,Reversible Tote,$40.00 ,40007881001
10448,Reversible Hobo,$40.00 ,40007883001
       105AC,Classic Dream Copper,$17.50 ,40008020001
10620,,$14.00 ,40000001340
       1089A,,$9.25 ,40000003230
10918,,-,40000000718
10929,,$16.25 ,40000000717
11005,Bags/Purses,-,40000014005
11055,,$17.50 ,40000002821
11058,,$16.25 ,40000002825
       113AG,Classic Love Gold,$17.00 ,40008028001
       115A5,Classic Strength Silver,$17.50 ,40008032001
       117OB,Classic Brave Brass,$17.50 ,40008017001
11916,,$25.25 ,40000000571
11977,,$16.25 ,40000002922
12005,Sunglasses,-,40000015005
12007,To Do,$3.50 ,40007733001
12018,What to Eat,$3.50 ,40007731001
12031,Pack This,$3.50 ,40007732001
12131,,$19.00 ,40000003018
12226,All Out Of,$3.50 ,40007730001
12249,,$13.75 ,40000002824
12258,This Week,$3.50 ,40007734001
12269,WTF,$3.50 ,40007735001
12298,,$16.00 ,40000003253
12356,Blue Shift Dress,$17.00 ,40000001399
12410,,$39.50 ,40000001789
       1244B,,$39.50 ,40000001791
12500,,$16.75 ,40000002822
       1259D,Lace Trim Tank,$11.75 ,40000003941
12613,Let's Do This,$6.00 ,40007727001
12681,,$15.75 ,40000003254
12691,,$15.00 ,40000002939
13005,Jewelry,-,40000016005
13064,,$15.50 ,40000003014
13074,,$36.75 ,40000002883
       130SV,,$13.75 ,40000001933
13185,,$47.75 ,40000002284
13198,Mystree Stretch Skinny Jeans,$25.00 ,40000004625
13301,,$15.50 ,40005372001
13562,,$19.25 ,40000002938
14005,Holiday,-,40000017005
14034,,$40.00 ,40000002040
14161,,$22.00 ,40000003022
14204,Mystree Lace Emb Blouse,$26.00 ,40000004619
14312,Mystree Long Vest W Pockets,$31.00 ,40000004623
14343,Mystree Front Tie Top,$27.00 ,40000004624
14380,Mystree Twisted Front Checker,$27.00 ,40000004618
14523,,$16.25 ,40000003070
14536,,$13.25 ,40000001261
